anc,psi
503.126603,215.076435
1138.558652,445.359545
345.479704,1.10483
8.660356,4.517739
153.339592,41.158784
41.788348,17.095612
34.55386,134.294525
20.847756,4.829396
4324.768431,1269.860151
7.183335,3.74724
11.152414,5.81774
86.441982,45.093109
6.604503,2.090299
34.558782,14.546002
980.043212,389.227428
202.15695,105.174279
8.357511,3.82092
12.864984,6.252635
81.464333,38.671468
156.446358,81.611418
212.781116,105.259494
41.003862,2.247658
56.981351,24.594584
379.724987,170.015069
37.361667,19.489994
389.605722,173.623121
159.580776,83.24651
143.415161,74.238952
213.374202,83.425543
7.540966,3.933801
6.415873,2.847466
182.286276,23.137264
39.903716,20.816073
2.131667,0.522312
26.560081,11.339527
197.957331,88.113028
101.200905,51.408684
441.871978,20.75422
41.522626,10.189604
3.747754,1.547255
256.453434,3251.965661
8.791387,2.652152
27.506313,6.745154
152.47522,75.555445
18.687496,9.748472
14.318802,5.619302
846.922139,324.361338
23.829454,12.430814
360.212464,131.532126
18.17865,9.483029
28.189535,8.829311
233.234674,105.202224
86.42331,56.418471
1233.441476,12452.878352
86.42331,2.171347
14.308597,5.96881
106.680864,43.416455
826.542292,328.75454
203.700786,98.03666
249.236752,80.019268
34.786286,1.002171
9.97741,0.835457
54.121463,26.419307
176.830099,90.421715
53.050118,27.673992
290.842022,113.120971
1851.359234,449.067791
10383.600846,2220.705761
158.110774,82.479673
176.955701,90.848921
12.019232,5.063039
9789.96386,10.022339
879.206534,1.791056
685.703898,264.044572
1295.074194,475.762262
128.048505,66.797464
25.535821,1.002171
28.569379,14.903431
45.524641,0.440957
129.674151,51.510893
51.977146,2.522613
10205.61161,2192.887499
7015.976812,44084.902545
86.192073,27.634544
29.772252,0.23551
15.649195,7.43372
17.366629,0.209685
391.082155,148.024413
944.435646,376.22496
929.971091,0.389143
230.489437,0.042957
277.367916,132.486621
132.174588,0.249625
186.58568,1522.314058
21.467878,3.790664
5.470767,2.853866
6.667801,53.230226
60.402206,26.255647
2.968373,1.548473
20.394948,6.889024
1004.861545,398.290096
146.764279,2.552759
217.909292,109.49842
123.624474,64.489635
2.927014,1.526898
7.501581,101.678794
7.501581,3.913256
33.78306,16.032221
3.825041,1.99536
1057.2621,326.850071
165.071788,83.551021
75.05056,34.6665
328.872282,41.148767
47.324478,22.825258
4294.767416,1194.021987
87470.733785,10448.783383
536.308952,150.415258
540.072898,228.567754
25.315047,13.205784
30.004433,15.026272
355.720662,161.198887
141.954693,74.051732
65.389734,8.688269
40.21849,20.980277
3.631851,1.894582
19.160203,9.995063
7.435116,0.662435
805.862151,0.261203
41.877324,21.84562
48.431052,3.840657
10.46164,0.35131
51.005534,26.60742
6.243613,2.263162
8.008457,3.296417
333.695085,154.341505
13.520134,7.052879
10.445954,76.748253
5.559185,11.189138
202.153115,2.807571
65.096945,9.82956
960.734858,375.6862
539.32731,195.74688
12.329084,2.294157
501.211472,168.65199
10.445954,76.748253
755.763268,307.329305
19.907524,9.9234
797.458791,320.786346
7.405724,3.73251
79.63833,15.184646
13.774106,5.300668
50.559994,20.458635
1225.348557,6.680256
1195.336375,436.450711
628.039021,434.842691
22.236562,0.267369
1137.457246,356.624654
45.525636,23.74879
846.837393,340.585957
94.717256,38.909502
199.846868,54.234361
5.759613,1.760452
48.920641,25.519819
630.684803,261.655621
2.634975,1.374554
650.733329,6787.840465
8.179755,4.26703
1004.133837,386.982524
98.477468,49.709735
98.477468,49.709735
5043.558002,644.523272
102.780264,27.034568
12599.812941,1575.242149
99.052856,9.053007
92.425585,48.2145
379.823879,170.051181
108.179831,56.432821
24.099448,12.571658
6.610948,1.519298
22.780108,11.883414
96.372799,48.077654
12.169428,6.348273
